,SPY,QQQ,^RUT,IWM,DIA,EFA,EEM,XLF,XLE,XLU,XLK,XLI,XLB,XLP,XLV,XLY,XBI,XHB,XME,XOP,XRT,XES,XSW,XSD,XTN,XAR
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-12,163.31759643554688,92.54138946533203,971.989990234375,87.53803253173828,136.51736450195312,41.91980743408203,25.095062255859375,14.363404273986816,39.9908561706543,35.77237319946289,35.70255661010742,43.204322814941406,34.35938262939453,41.07362747192383,56.8215217590332,63.964046478271484,46.576778411865234,26.85580062866211,13.599811553955078,86.41709899902344,34.87748718261719,122.05584716796875,39.79389953613281,36.18564224243164,37.493446350097656,43.292301177978516
2016-02-16,166.0741424560547,94.62786865234375,995.7999877929688,89.61344909667969,138.41184997558594,42.76975631713867,25.651397705078125,14.594730377197266,40.38874053955078,36.00006866455078,36.33897018432617,44.07414627075195,34.8841438293457,41.40176010131836,57.8896369934082,65.51298522949219,48.47746276855469,27.61321449279785,13.68899154663086,85.28886413574219,36.27897644042969,124.24517822265625,40.82624816894531,37.643798828125,38.5561637878418,44.277923583984375
2016-02-17,168.78688049316406,96.77099609375,1011.1300048828125,91.01817321777344,140.74148559570312,43.5074348449707,26.15637969970703,14.791011810302734,41.71261978149414,35.929405212402344,37.0844841003418,44.752620697021484,35.57237243652344,41.82833480834961,58.62229919433594,66.9244155883789,50.43754196166992,28.052711486816406,14.232985496520996,89.30825805664062,37.032936096191406,131.90786743164062,41.78068161010742,38.38248825073242,39.15277099609375,45.169681549072266
2016-02-18,168.09556579589844,95.66639709472656,1004.7100219726562,90.58314514160156,140.3915252685547,43.28292465209961,26.0023193359375,14.706892013549805,41.191741943359375,36.518287658691406,36.93901443481445,44.726524353027344,35.46913528442383,41.63965606689453,58.2603874206543,66.48448181152344,48.675445556640625,27.949851989746094,14.161640167236328,85.64144134521484,36.961978912353516,130.81321716308594,41.64434051513672,38.07550048828125,39.08751678466797,45.31048583984375
2016-02-19,168.01683044433594,95.94961547851562,1010.010009765625,91.0362777709961,140.21429443359375,43.23481369018555,25.882492065429688,14.706892013549805,41.09770202636719,36.274879455566406,36.966285705566406,44.6395378112793,35.056209564208984,41.705284118652344,58.198604583740234,66.66781616210938,49.61587905883789,27.9779052734375,13.813838958740234,84.09009552001953,36.678138732910156,128.62387084960938,42.092342376708984,38.19063186645508,38.97566223144531,45.141517639160156
2016-02-22,170.4495391845703,97.50738525390625,1021.739990234375,92.05131530761719,142.13284301757812,43.72393035888672,26.5244197845459,14.938220024108887,42.14665985107422,36.698890686035156,37.45723342895508,45.39628601074219,35.727230072021484,41.910362243652344,59.028358459472656,67.96009826660156,50.15045928955078,28.492204666137695,14.411340713500977,88.14472961425781,37.307918548583984,134.0059814453125,42.62798309326172,38.89093017578125,39.749393463134766,45.94878387451172
2016-02-23,168.29684448242188,95.90241241455078,1012.1500244140625,91.20848083496094,140.59971618652344,43.01030349731445,25.959524154663086,14.671843528747559,40.707061767578125,36.730289459228516,36.86628723144531,44.94397735595703,34.8497428894043,41.90214920043945,58.58700180053711,67.58430480957031,47.75479507446289,28.57636833190918,13.983283042907715,83.2086410522461,37.38773727416992,128.71510314941406,42.29684829711914,38.31533432006836,39.40445327758789,45.930015563964844
2016-02-24,169.06689453125,96.81819152832031,1022.0800170898438,92.08760070800781,141.04518127441406,42.85795211791992,25.899612426757812,14.636794090270996,41.119407653808594,36.90301513671875,37.14812469482422,44.970062255859375,35.211055755615234,42.033409118652344,58.781192779541016,67.97843933105469,48.269561767578125,28.847537994384766,14.063543319702148,85.00679779052734,37.84012985229492,128.44143676757812,42.79354476928711,39.111576080322266,39.264644622802734,45.83615493774414
2016-02-25,171.11465454101562,97.77174377441406,1031.5799560546875,92.93041229248047,142.90379333496094,43.371124267578125,25.985197067260742,14.840078353881836,41.15557861328125,37.2798957824707,37.611785888671875,45.56156539916992,35.666996002197266,42.50920867919922,59.51384735107422,68.65665435791016,48.061676025390625,28.922344207763672,14.117050170898438,85.1830825805664,38.36346435546875,126.61693572998047,42.96884536743164,39.39936447143555,39.4697265625,46.4556884765625
2016-02-26,170.72084045410156,97.6490249633789,1037.1800537109375,93.51953125,142.42420959472656,43.25886535644531,25.72843360900879,14.945229530334473,41.40153884887695,36.2513313293457,37.511783599853516,45.6224479675293,36.183170318603516,41.910362243652344,59.407936096191406,68.58332061767578,48.90313720703125,29.202871322631836,14.268655776977539,87.12226867675781,38.45217514038086,133.91481018066406,43.66032791137695,39.62001419067383,39.75870132446289,46.68096923828125
