,SHY,SHV,TLT,GOVT,IEF,BIL,IEI,VGSH,SCHO,VGIT,SCHR,SPTS,SPTI,SPTL,GBIL,VGLT,USFR,TLH,EDV,SGOV,CLTL,FLGV,TFLO,ZROZ,PLW
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-25,83.71163940429688,106.23602294921875,132.4498291015625,25.43019676208496,110.22235107421875,87.86663055419922,126.94402313232422,59.48589324951172,49.489479064941406,64.92386627197266,54.50848388671875,29.678638458251953,31.32387351989746,37.94321060180664,96.63754272460938,80.39899444580078,47.944129943847656,135.44493103027344,121.76475524902344,95.93195343017578,101.6664047241211,22.964309692382812,48.144561767578125,130.1999969482422,34.340084075927734
2021-05-26,83.7310562133789,106.23602294921875,132.22189331054688,25.41094970703125,110.09746551513672,87.86663055419922,126.90522766113281,59.49557113647461,49.4798469543457,64.87600708007812,54.47975158691406,29.688308715820312,31.3142032623291,37.8768310546875,96.63754272460938,80.27598571777344,47.944129943847656,135.28443908691406,121.53853607177734,95.92716217041016,101.6664047241211,22.95953369140625,48.144561767578125,130.11460876464844,34.29204559326172
2021-05-27,83.7310562133789,106.23602294921875,131.69000244140625,25.401323318481445,109.90534973144531,87.876220703125,126.81793975830078,59.49557113647461,49.489479064941406,64.81861877441406,54.45101547241211,29.678638458251953,31.275524139404297,37.715660095214844,96.62787628173828,79.92585754394531,47.9250373840332,134.76512145996094,120.79388427734375,95.92234802246094,101.6664047241211,22.941387176513672,48.13497543334961,129.34588623046875,34.19595718383789
2021-05-28,83.7310562133789,106.2264175415039,131.48114013671875,25.401323318481445,109.89573669433594,87.876220703125,126.85672760009766,59.50522994995117,49.4991340637207,64.81861877441406,54.44144058227539,29.697988510131836,31.294872283935547,37.668243408203125,96.63754272460938,79.80284118652344,47.9250373840332,134.63299560546875,120.95414733886719,95.93195343017578,101.66160583496094,22.962425231933594,48.144561767578125,129.36483764648438,34.18634796142578
2021-06-01,83.71358489990234,106.21681213378906,131.45164489746094,25.37434959411621,109.87554931640625,87.86663055419922,126.8431167602539,59.49362564086914,49.496238708496094,64.84162139892578,54.4490966796875,29.68250274658203,31.279390335083008,37.64165115356445,96.61824035644531,79.78388214111328,47.944129943847656,134.40133666992188,120.64306640625,95.92906951904297,101.68082427978516,22.91939926147461,48.15412521362305,129.31739807128906,34.15752410888672
2021-06-02,83.7232894897461,106.2264175415039,131.7559814453125,25.403242111206055,110.00053405761719,87.86663055419922,126.90137481689453,59.49362564086914,49.496238708496094,64.8703384399414,54.46826934814453,29.692174911499023,31.308412551879883,37.727115631103516,96.61824035644531,79.96395874023438,47.944129943847656,134.62828063964844,121.02953338623047,95.92906951904297,101.6664047241211,22.9576473236084,48.13497543334961,129.58311462402344,34.215179443359375
2021-06-03,83.69417572021484,106.21681213378906,131.2613983154297,25.35507583618164,109.72175598144531,87.86663055419922,126.65874481201172,59.464622497558594,49.47693634033203,64.73628234863281,54.36284255981445,29.672826766967773,31.25037956237793,37.584686279296875,96.62787628173828,79.67960357666016,47.9250373840332,134.26901245117188,120.46399688720703,95.92427062988281,101.66160583496094,22.92418098449707,48.144561767578125,128.87135314941406,34.147918701171875
2021-06-04,83.7232894897461,106.2264175415039,133.05897521972656,25.461050033569336,110.3273696899414,87.876220703125,127.00812530517578,59.49362564086914,49.48659133911133,64.94692993164062,54.535369873046875,29.692174911499023,31.34709930419922,38.07847213745117,96.62303924560547,80.71280670166016,47.944129943847656,135.6776123046875,122.48112487792969,95.92427062988281,101.6664047241211,22.995895385742188,48.144561767578125,131.25344848632812,34.397727966308594
2021-06-07,83.71358489990234,106.21681213378906,132.64999389648438,25.43214988708496,110.24085235595703,87.8570327758789,126.95960998535156,59.48396301269531,49.48659133911133,64.91819763183594,54.52578353881836,29.672826766967773,31.337421417236328,37.98351287841797,96.62787628173828,80.4758529663086,47.9250373840332,135.46017456054688,122.12295532226562,95.92622375488281,101.66160583496094,23.000673294067383,48.144561767578125,130.86436462402344,34.34968185424805
2021-06-08,83.73299407958984,106.2264175415039,133.58206176757812,25.49958038330078,110.55806732177734,87.8570327758789,127.10514831542969,59.48396301269531,49.47693634033203,65.01394653320312,54.60246658325195,29.68250274658203,31.376110076904297,38.20191955566406,96.61824035644531,80.98770904541016,47.9250373840332,136.1407928466797,123.15979766845703,95.93386840820312,101.66160583496094,22.967206954956055,48.144561767578125,132.20252990722656,34.49382400512695
