,LQD,SHY,SHV,TLT,GOVT,IEF,BIL,IEI,VGSH,SCHO,VGIT,SCHR,SPTS,SPTI,SPTL,VGLT,USFR,TLH,EDV,TFLO,ZROZ,PLW
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
Date,,,,,,,,,,,,,,,,,,,,,,
2018-12-20,96.77273559570312,77.69297790527344,101.61627960205078,108.77757263183594,22.544416427612305,94.96372985839844,84.62464904785156,112.18609619140625,54.993858337402344,45.717002868652344,56.884376525878906,47.72833251953125,27.419363021850586,27.432764053344727,31.157066345214844,66.05247497558594,46.273685455322266,116.80774688720703,94.99073791503906,46.3321647644043,103.15215301513672,29.242229461669922
2018-12-21,96.67804718017578,77.74893188476562,101.63471221923828,108.75956726074219,22.553558349609375,95.04655456542969,84.64317321777344,112.26992797851562,55.030521392822266,45.74460983276367,56.92951965332031,47.76469802856445,27.428667068481445,27.451383590698242,31.130199432373047,66.06134033203125,46.273685455322266,116.86978149414062,94.99073791503906,46.34137725830078,102.29598999023438,29.24774742126465
2018-12-24,96.45428466796875,77.8141860961914,101.62554168701172,109.30010223388672,22.59012794494629,95.28598022460938,84.65243530273438,112.51206970214844,55.07736587524414,45.772178649902344,57.089637756347656,47.85565185546875,27.456567764282227,27.50723648071289,31.282485961914062,66.36017608642578,46.29767608642578,117.29493713378906,95.40243530273438,46.35061264038086,102.93585205078125,29.378488540649414
2018-12-26,96.37681579589844,77.73959350585938,101.62554168701172,108.1289291381836,22.5261287689209,94.83477020263672,84.64317321777344,112.2047348022461,55.04064178466797,45.762969970703125,56.872535705566406,47.710121154785156,27.447261810302734,27.428110122680664,30.96894645690918,65.69313049316406,46.2607536315918,116.62174224853516,94.16735076904297,46.34137725830078,101.45787048339844,29.194290161132812
2018-12-27,96.37681579589844,77.82352447509766,101.67159271240234,108.14692687988281,22.544416427612305,95.07418823242188,84.67095184326172,112.47480010986328,55.11408996582031,45.818172454833984,57.05344772338867,47.828365325927734,27.465850830078125,27.483966827392578,30.986867904663086,65.69313049316406,46.29767608642578,116.86978149414062,93.89850616455078,46.35061264038086,101.03430938720703,29.23029899597168
2018-12-28,96.83299255371094,77.93538665771484,101.69001770019531,109.056884765625,22.635839462280273,95.58985900878906,84.68022155761719,112.87528228759766,55.16002655029297,45.84575271606445,57.26151657104492,48.01934051513672,27.48444938659668,27.586366653442383,31.21977996826172,66.20008850097656,46.279212951660156,117.7377700805664,94.7638931274414,46.35982894897461,101.52510833740234,29.369274139404297
2018-12-31,97.09977722167969,77.96337127685547,101.67159271240234,109.47129821777344,22.5352783203125,95.94895935058594,84.68949127197266,113.06149291992188,55.21512985229492,45.90095901489258,57.415283203125,48.15575408935547,27.503040313720703,27.7166748046875,31.389978408813477,66.44911193847656,46.29767608642578,118.2514877319336,95.32678985595703,46.35982894897461,102.24317169189453,29.46136474609375
2019-01-02,97.4010009765625,77.97267150878906,101.6808090209961,110.04788970947266,22.71810531616211,96.15150451660156,84.68022155761719,113.2198486328125,55.19676208496094,45.89174270629883,57.43340301513672,48.183048248291016,27.512344360351562,27.698062896728516,31.506437301635742,66.8493423461914,46.29767608642578,118.57035827636719,96.09137725830078,46.35982894897461,103.2611312866211,29.560462951660156
2019-01-03,97.44403839111328,78.13118743896484,101.71768188476562,111.30015563964844,22.84610366821289,96.91580200195312,84.70799255371094,113.86247253417969,55.31614303588867,45.99291229248047,57.813316345214844,48.474082946777344,27.56812858581543,27.865610122680664,31.882694244384766,67.60535430908203,46.29767608642578,119.66863250732422,97.50289916992188,46.36904525756836,104.58814239501953,29.802120208740234
2019-01-04,97.38379669189453,77.96337127685547,101.74531555175781,110.01185607910156,22.727256774902344,96.13311767578125,84.71727752685547,113.2291488647461,55.19676208496094,45.873355865478516,57.46957778930664,48.19215393066406,27.521638870239258,27.688751220703125,31.49750518798828,66.81379699707031,46.29767608642578,118.40206146240234,96.21739196777344,46.36904525756836,103.28839874267578,29.5534610748291
2019-01-07,97.39238739013672,77.90743255615234,101.74531555175781,109.6875228881836,22.68154525756836,95.86609649658203,84.71727752685547,113.00563049316406,55.15085220336914,45.86415100097656,57.3158073425293,48.092105865478516,27.503040313720703,27.623598098754883,31.425825119018555,66.63594055175781,46.31613540649414,118.00347137451172,95.78050994873047,46.36904525756836,103.10660552978516,29.49820327758789
2019-01-08,97.60757446289062,77.86082458496094,101.73611450195312,109.39923095703125,22.635839462280273,95.62665557861328,84.71727752685547,112.80076599121094,55.12328338623047,45.808982849121094,57.22532653808594,48.0102653503418,27.48444938659668,27.581701278686523,31.35415267944336,66.47578430175781,46.31613540649414,117.67574310302734,95.54525756835938,46.35982894897461,102.77033996582031,29.442947387695312
2019-01-09,97.97765350341797,77.89810180664062,101.72687530517578,109.22804260253906,22.635839462280273,95.68193054199219,84.71727752685547,112.8938980102539,55.14166259765625,45.854957580566406,57.25246810913086,48.04664611816406,27.48444938659668,27.604982376098633,31.27352523803711,66.32456970214844,46.31613540649414,117.68465423583984,95.3856201171875,46.35061264038086,102.61580657958984,29.424531936645508
2019-01-10,97.71944427490234,77.90743255615234,101.75454711914062,108.52536010742188,22.608407974243164,95.63587188720703,84.72648620605469,112.87528228759766,55.15085220336914,45.854957580566406,57.26151657104492,48.02846145629883,27.503040313720703,27.581701278686523,31.085405349731445,65.95099639892578,46.33457946777344,117.36578369140625,94.41102600097656,46.38749313354492,101.57056427001953,29.31852912902832
2019-01-11,97.90019226074219,77.95405578613281,101.78219604492188,108.94873046875,22.66326141357422,95.92133331298828,84.74503326416016,113.08016204833984,55.16920471191406,45.86415100097656,57.361026763916016,48.119388580322266,27.512344360351562,27.651514053344727,31.19290542602539,66.20899963378906,46.33457946777344,117.86175537109375,94.73870086669922,46.37826919555664,101.91593933105469,29.433734893798828
