,NVDA,MRNA,BYND,TSLA,TEVA,SNOW,ABNB,BABA,1090943,1106376,168013
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice
2017-04-12,24.012298583984375,,,19.78933334350586,31.367334365844727,,,110.62999725341797,1569.0,53.2,37800.0
2017-04-13,23.563194274902344,,,20.266666412353516,31.308744430541992,,,110.20999908447266,1511.0,53.2,37250.0
2017-04-17,24.486083984375,,,20.09600067138672,31.396635055541992,,,111.76000213623047,,,
2017-04-18,24.500892639160156,,,20.016666412353516,30.26381492614746,,,111.2300033569336,1453.0,53.2,36440.0
2017-04-19,24.59712028503418,,,20.368000030517578,29.98061180114746,,,110.76000213623047,1430.0,51.5,37940.0
2017-04-20,24.987001419067383,,,20.167333602905273,30.03920555114746,,,112.95999908447266,1412.0,51.5,37860.0
2017-04-21,25.09064483642578,,,20.373332977294922,30.400531768798828,,,113.11000061035156,,,
2017-04-23,,,,,,,,,1412.0,49.3,37430.0
2017-04-24,25.40402603149414,,,20.53533363342285,30.859521865844727,,,114.86000061035156,1420.0,52.4,37490.0
2017-04-25,25.84573745727539,,,20.91933250427246,30.03920555114746,,,115.4800033569336,1421.0,53.9,38250.0
2017-04-26,25.668067932128906,,,20.67799949645996,30.547019958496094,,,114.97000122070312,1405.0,52.9,39570.0
2017-04-27,26.06781578063965,,,20.575332641601562,30.986473083496094,,,115.43000030517578,1404.0,52.0,39880.0
2017-04-28,25.73716163635254,,,20.937999725341797,30.839988708496094,,,115.5,,,
2017-04-30,,,,,,,,,1409.0,51.9,39900.0
2017-05-01,26.314577102661133,,,21.52199935913086,30.830224990844727,,,116.68000030517578,,,
2017-05-02,25.534820556640625,,,21.25933265686035,31.35757064819336,,,118.08999633789062,,,
2017-05-03,25.724822998046875,,,20.73466682434082,30.000141143798828,,,116.56999969482422,1392.0,52.4,40310.0
2017-05-04,25.626117706298828,,,19.69733238220215,30.146629333496094,,,115.86000061035156,1390.0,53.5,39860.0
2017-05-05,25.628585815429688,,,20.55666732788086,30.41029930114746,,,116.04000091552734,,,
2017-05-07,,,,,,,,,1384.0,52.2,40600.0
2017-05-08,25.359617233276367,,,20.479333877563477,30.06850242614746,,,116.86000061035156,1440.0,52.2,40430.0
2017-05-09,25.40156364440918,,,21.417333602905273,30.42006492614746,,,120.0,1464.0,50.5,40360.0
2017-05-10,29.92963409423828,,,21.681333541870117,30.625144958496094,,,119.9800033569336,1509.0,50.9,40250.0
2017-05-11,31.215251922607422,,,21.540000915527344,31.250146865844727,,,120.16000366210938,1536.0,51.4,40850.0
2017-05-12,31.558244705200195,,,21.65399932861328,31.142724990844727,,,120.33999633789062,,,
2017-05-14,,,,,,,,,1540.0,52.0,41330.0
2017-05-15,33.14244842529297,,,21.058666229248047,31.552885055541992,,,121.4000015258789,1560.0,53.0,41390.0
2017-05-16,33.75934600830078,,,21.134000778198242,31.035303115844727,,,124.0199966430664,1568.0,53.0,42500.0
2017-05-17,31.516298294067383,,,20.407333374023438,29.589982986450195,,,120.72000122070312,1554.0,53.0,41430.0
2017-05-18,32.83646774291992,,,20.87066650390625,28.974746704101562,,,121.2699966430664,1524.0,53.0,41230.0
2017-05-19,33.59481430053711,,,20.722000122070312,29.179824829101562,,,123.22000122070312,,,
2017-05-21,,,,,,,,,1525.0,51.1,42180.0
2017-05-22,34.31117248535156,,,20.690000534057617,28.75013542175293,,,124.75,1517.0,51.1,43190.0
2017-05-23,33.84926223754883,,,20.257333755493164,28.086069107055664,,,122.93000030517578,1515.0,51.4,45110.0
2017-05-24,34.22966766357422,,,20.681333541870117,28.300914764404297,,,122.80999755859375,1495.0,51.8,45600.0
2017-05-25,34.15308380126953,,,21.121999740600586,28.037240982055664,,,123.62999725341797,1484.0,51.8,42800.0
2017-05-26,35.03742218017578,,,21.676000595092773,27.832162857055664,,,123.98999786376953,,,
2017-05-28,,,,,,,,,1474.0,51.8,42080.0
2017-05-29,,,,,,,,,1548.0,51.8,42130.0
2017-05-30,35.78590774536133,,,22.34000015258789,27.1680965423584,,,123.91000366210938,,,
2017-05-31,35.65743637084961,,,22.733999252319336,27.20716094970703,,,122.45999908447266,,,
2017-06-01,35.65992736816406,,,22.691333770751953,28.680221557617188,,,123.97000122070312,1547.0,51.8,42000.0
2017-06-02,35.4820671081543,,,22.656667709350586,28.699995040893555,,,124.12999725341797,,,
2017-06-04,,,,,,,,,1523.0,51.8,42130.0
2017-06-05,36.56154251098633,,,23.154666900634766,28.66044807434082,,,125.37000274658203,1498.0,51.8,41570.0
2017-06-06,36.39604187011719,,,23.523332595825195,28.42317771911621,,,124.62000274658203,1522.0,51.8,40950.0
2017-06-07,36.83573913574219,,,23.976667404174805,28.452836990356445,,,125.63999938964844,1531.0,50.2,40180.0
2017-06-08,39.50849914550781,,,24.666667938232422,29.194311141967773,,,142.33999633789062,1532.0,50.2,39800.0
2017-06-09,36.95430374145508,,,23.821332931518555,29.87646484375,,,139.44000244140625,,,
2017-06-11,,,,,,,,,1514.0,55.8,39110.0
2017-06-12,37.04570007324219,,,23.93400001525879,30.093965530395508,,,139.0800018310547,1511.0,50.3,38090.0
2017-06-13,37.39894485473633,,,25.06333351135254,30.17305564880371,,,136.60000610351562,1485.0,50.2,38880.0
2017-06-14,37.477989196777344,,,25.37733268737793,30.32135009765625,,,136.6699981689453,1491.0,49.3,38530.0
2017-06-15,37.638553619384766,,,25.022666931152344,30.08407974243164,,,135.0800018310547,1476.0,48.5,38340.0
2017-06-16,37.45328903198242,,,24.760000228881836,30.56850814819336,,,134.8699951171875,,,
2017-06-18,,,,,,,,,1479.0,48.9,39450.0
2017-06-19,38.86130905151367,,,24.65333366394043,30.973848342895508,,,139.47000122070312,1499.0,48.9,40940.0
2017-06-20,38.80448532104492,,,24.81599998474121,31.01339340209961,,,138.3800048828125,1480.0,48.0,41720.0
2017-06-21,39.39240646362305,,,25.093332290649414,30.697031021118164,,,143.2899932861328,1484.0,48.0,40990.0
2017-06-22,39.12067413330078,,,25.507333755493164,32.15032196044922,,,142.27000427246094,1482.0,48.1,40200.0
2017-06-23,37.999202728271484,,,25.56333351135254,32.23929977416992,,,143.00999450683594,,,
2017-06-25,,,,,,,,,1495.0,50.7,39470.0
2017-06-26,37.58420944213867,,,25.166000366210938,32.575435638427734,,,142.72999572753906,1495.0,50.7,38560.0
2017-06-27,36.20829772949219,,,24.158000946044922,31.794414520263672,,,141.52999877929688,1485.0,50.7,39110.0
2017-06-28,37.48540115356445,,,24.749332427978516,32.43702697753906,,,143.9499969482422,1440.0,47.2,39550.0
2017-06-29,36.233001708984375,,,24.049999237060547,32.4567985534668,,,140.80999755859375,1440.0,47.0,40180.0
2017-06-30,35.709327697753906,,,24.107332229614258,32.84236526489258,,,140.89999389648438,,,
2017-07-02,,,,,,,,,1440.0,48.2,41010.0
2017-07-03,34.417396545410156,,,23.507999420166016,32.931339263916016,,,140.99000549316406,1411.0,48.2,41060.0
2017-07-04,,,,,,,,,1414.0,48.2,40920.0
2017-07-05,35.336326599121094,,,21.805999755859375,32.338157653808594,,,144.8699951171875,1365.0,48.2,40250.0
2017-07-06,35.44253158569336,,,20.588666915893555,31.408845901489258,,,142.1999969482422,1409.0,47.3,39270.0
2017-07-07,36.25277328491211,,,20.881332397460938,31.181461334228516,,,142.42999267578125,,,
2017-07-09,,,,,,,,,1420.0,44.6,39360.0
2017-07-10,37.967098236083984,,,21.06999969482422,30.8156681060791,,,143.80999755859375,1492.0,45.5,39580.0
2017-07-11,38.50559997558594,,,21.814666748046875,30.617938995361328,,,145.80999755859375,1538.0,47.0,39070.0
2017-07-12,40.143341064453125,,,21.968000411987305,31.725208282470703,,,149.0,1541.0,47.0,39260.0
