,LQD,SHY,SHV,TLT,GOVT,IEF,BIL,IEI,VGSH,SCHO,VGIT,SCHR,SPTS,SPTI,SPTL,GBIL,VGLT,USFR,TLH,EDV,SGOV,CLTL,FLGV,TFLO,ZROZ,PLW
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-06,106.93484497070312,80.15008544921875,104.1484146118164,120.08282470703125,23.785005569458008,102.0015640258789,86.66517639160156,118.13976287841797,56.85667419433594,47.28904724121094,60.21964645385742,50.5494384765625,28.36823272705078,29.045024871826172,34.352596282958984,94.7741470336914,72.9026107788086,47.179752349853516,127.6241455078125,108.27494049072266,,99.5515365600586,,47.43434143066406,114.75932312011719,31.585718154907227
2019-06-07,107.41199493408203,80.2354736328125,104.1578598022461,121.12174224853516,23.85004425048828,102.40469360351562,86.65570068359375,118.395263671875,56.91285705566406,47.335960388183594,60.3760986328125,50.679203033447266,28.377717971801758,29.1160945892334,34.65440368652344,94.78362274169922,73.49292755126953,47.179752349853516,128.44686889648438,109.39864349365234,,99.5750961303711,,47.43434143066406,116.12191009521484,31.77309799194336
2019-06-10,107.02322387695312,80.15956115722656,104.17669677734375,119.98168182373047,23.785005569458008,101.8984375,86.67462921142578,118.04511260986328,56.85667419433594,47.29843521118164,60.1828727722168,50.52165222167969,28.358749389648438,29.030805587768555,34.352596282958984,94.7741470336914,72.83900451660156,47.16095733642578,127.51565551757812,108.22306823730469,,99.58074188232422,,47.44375991821289,114.35694122314453,31.585718154907227
2019-06-11,107.12037658691406,80.131103515625,104.16726684570312,120.05525207519531,23.76642417907715,101.8984375,86.66517639160156,118.03569030761719,56.8192138671875,47.27027130126953,60.14605712890625,50.51237869262695,28.34926414489746,29.026063919067383,34.38002395629883,94.78362274169922,72.92073822021484,47.19855499267578,127.61515808105469,108.46510314941406,,99.58265686035156,,47.44375991821289,114.61299896240234,31.613821029663086
2019-06-12,107.2794418334961,80.197509765625,104.17669677734375,120.1471939086914,23.8035888671875,102.16093444824219,86.67462921142578,118.26275634765625,56.866024017333984,47.307804107666016,60.28407669067383,50.60504913330078,28.377717971801758,29.08292579650879,34.3983268737793,94.80252838134766,72.95708465576172,47.179752349853516,127.80493927001953,108.48239135742188,,99.5892562866211,,47.43434143066406,114.73186492919922,31.632558822631836
2019-06-13,107.5533676147461,80.28291320800781,104.22380828857422,120.56095123291016,23.840744018554688,102.4140396118164,86.70304870605469,118.4803695678711,56.931583404541016,47.36408996582031,60.40370559692383,50.71627426147461,28.406177520751953,29.144521713256836,34.51722717285156,94.81197357177734,73.2114028930664,47.179752349853516,128.1937255859375,108.81084442138672,,99.62509155273438,,47.43434143066406,115.08854675292969,31.716901779174805
2019-06-14,107.59752655029297,80.25442504882812,104.23324584960938,120.86432647705078,23.868627548217773,102.48905944824219,86.7125244140625,118.46145629882812,56.931583404541016,47.35472869873047,60.422115325927734,50.71627426147461,28.396678924560547,29.13031005859375,34.59038543701172,94.83089447021484,73.33855438232422,47.179752349853516,128.37457275390625,109.01830291748047,,99.63070678710938,,47.43434143066406,115.64634704589844,31.763751983642578
2019-06-17,107.65055847167969,80.21650695800781,104.23324584960938,121.07579040527344,23.859329223632812,102.47030639648438,86.7125244140625,118.43306732177734,56.90349197387695,47.34534454345703,60.3760986328125,50.69774627685547,28.38719940185547,29.139785766601562,34.645263671875,94.82144165039062,73.50202941894531,47.179752349853516,128.44686889648438,109.26898956298828,,99.60811614990234,,47.44375991821289,115.93901062011719,31.782459259033203
2019-06-18,108.36629486083984,80.2259521484375,104.23324584960938,121.68260955810547,23.887208938598633,102.66720581054688,86.7125244140625,118.50873565673828,56.92220687866211,47.34534454345703,60.43130111694336,50.76262283325195,28.396678924560547,29.168209075927734,34.800750732421875,94.8403549194336,73.8108139038086,47.19855499267578,128.84457397460938,109.97779846191406,,99.63636779785156,,47.43434143066406,116.94493103027344,31.84807777404785
2019-06-19,109.05551147460938,80.39673614501953,104.23324584960938,121.85728454589844,23.952241897583008,102.94842529296875,86.7314682006836,118.85882568359375,57.02521896362305,47.44855880737305,60.624576568603516,50.901649475097656,28.444108963012695,29.239274978637695,34.84646987915039,94.8592758178711,73.98336791992188,47.19855499267578,129.11582946777344,110.2457504272461,,99.65522766113281,,47.44375991821289,117.31072998046875,31.941761016845703
