Symbol,sector,description,total_return,total_volatility,total_sharpe,annual_return,annual_volatility,annual_sharpe,monthly_return,monthly_volatility,monthly_sharpe,forecast_return,forecast_volatility,forecast_sharpe
1183441,Israel stocks,אינ.חוץS&P500,,,,,,,,,,,,
1183458,Israel stocks,אינ.חוץP.ESG&S,,,,,,,,,,,,
1183466,Israel stocks,אינ.חוץP&FINS,,,,,,,,,,,,
1183474,Israel stocks,אינ.חוץP.CARE&S,,,,,,,,,,,,
1183482,Israel stocks,אינ.חוץKBW.NDX,,,,,,,,,,,,
1183490,Israel stocks,אינ.חוץMSCIEM,,,,,,,,,,,,
1185164,Israel stocks,אינ.חוץ.WORLD,,,,,,,,,,,,
1185172,Israel stocks,אינ.חוץSTOXX600,,,,,,,,,,,,
1185180,Israel stocks,אינ.חוץPTEC&S,,,,,,,,,,,,
1185206,Israel stocks,אינ.חוץIBOXX,,,,,,,,,,,,
1186055,Israel stocks,אינ.חוץBLOCK,,,,,,,,,,,,
1186063,Israel stocks,אינ.חוץNASDAQ,,,,,,,,,,,,
1186071,Israel stocks,אינ.חוץCHINA,,,,,,,,,,,,
1158989,Israel stocks,אשס.חוץJPEMDUSD,,,,,,,,,,,,
1159060,Israel stocks,אשס.חוץ TIPS FI,,,,,,,,,,,,
1159078,Israel stocks,אשס.חוץHIGH YLD,,,,,,,,,,,,
1159086,Israel stocks,אשס.חוץ FLOT FI,,,,,,,,,,,,
1159094,Israel stocks,אשס.חוץMSCIEURO,,,,,,,,,,,,
1159102,Israel stocks,אשס.חוץGLBLBOND,,,,,,,,,,,,
1159110,Israel stocks,אשס.חוץ MSCCNYA,,,,,,,,,,,,
1159128,Israel stocks,אשס.חוץ HEAL GL,,,,,,,,,,,,
1159136,Israel stocks,אשס.חוץ DGTL GL,,,,,,,,,,,,
1159144,Israel stocks,אשס.חוץ RBOT GL,,,,,,,,,,,,
1159151,Israel stocks,אשס.חוץ SHRT US,,,,,,,,,,,,
1159169,Israel stocks,אשס.חוץ MSCI EM,,,,,,,,,,,,
1159177,Israel stocks,אשס.חוץTBOND 13,,,,,,,,,,,,
1159185,Israel stocks,אשס.חוץLQDA USD,,,,,,,,,,,,
1159193,Israel stocks,אשס.חוץ SP TECH,,,,,,,,,,,,
1159201,Israel stocks,אשס.חוץSP HCARE,,,,,,,,,,,,
1159219,Israel stocks,אשס.חוץSP FINAN,,,,,,,,,,,,
1159227,Israel stocks,אשס.חוץSP DISCR,,,,,,,,,,,,
1159235,Israel stocks,אשס.חוץ MS ACWI,,,,,,,,,,,,
1159243,Israel stocks,אשס.חוץ NDX 100,,,,,,,,,,,,
1159250,Israel stocks,אשס.חוץ SPX 500,,,,,,,,,,,,
1159268,Israel stocks,אשס.חוץTBOND710,,,,,,,,,,,,
1159276,Israel stocks,אשס.חוץTBOND 37,,,,,,,,,,,,
1158161,Israel stocks,שירותי בנק אוטו,,,,,,,,,,,,
1159029,Israel stocks,הבורסה לניע בתא,,,,,,,,,,,,
1161371,Israel stocks,מיטב השק אגח ד,,,,,,,,,,,,
1177484,Israel stocks,גמא ניהול,,,,,,,,,,,,
1157403,Israel stocks,ישראכרט,,,,,,,,,,,,
1157536,Israel stocks,ישראכרט   אגח א,,,,,,,,,,,,
1167303,Israel stocks,מור השקעות אג א,,,,,,,,,,,,
1097054,Israel stocks,סילבר קסטל,,,,,,,,,,,,
1096106,Israel stocks,אטראו שוקי הון,,,,,,,,,,,,
1084482,Israel stocks,איביאי חיתום,,,,,,,,,,,,
175018,Israel stocks,איביאי בית השק,,,,,,,,,,,,
1080613,Israel stocks,אנליסט,,,,,,,,,,,,
1081843,Israel stocks,מיטב השקעות,,,,,,,,,,,,
599019,Israel stocks,פסגות קבוצה,,,,,,,,,,,,
1185933,Israel stocks,גמא אגח ב,,,,,,,,,,,,
1185941,Israel stocks,גמא אגח ג,,,,,,,,,,,,
1121763,Israel stocks,מיטב השק אגח ג,,,,,,,,,,,,
1141464,Israel stocks,מור השקעות,,,,,,,,,,,,
1184381,Israel stocks,מור גמל פנסיה,,,,,,,,,,,,
1184936,Israel stocks,אלטשולר שחם פנ,,,,,,,,,,,,
1182567,Israel stocks,מגדלור,,,,,,,,,,,,
1196526,Israel stocks,איביאי חיתוםאפ1,,,,,,,,,,,,
1195015,Israel stocks,ישראכרט מסחרי 1,,,,,,,,,,,,
1193374,Israel stocks,סילבר קסטל אפ 6,,,,,,,,,,,,
1194026,Israel stocks,פסגות קב  אגח ג,,,,,,,,,,,,
5990106,Israel stocks,פסגות קבוצה אפ4,,,,,,,,,,,,
5990114,Israel stocks,פסגות קבוצה אפ5,,,,,,,,,,,,
1191659,Israel stocks,מימון ישיר אגחו,,,,,,,,,,,,
2080273,Israel stocks,נאוי אגח ו,,,,,,,,,,,,
4220349,Israel stocks,אסאר אקורד אגחא,,,,,,,,,,,,
4220372,Israel stocks,אסאר אקורד אגחב,,,,,,,,,,,,
3330222,Israel stocks,פנינסולה אגח ג,,,,,,,,,,,,
4480190,Israel stocks,גיבוי אחז אגח ב,,,,,,,,,,,,
1194000,Israel stocks,סיאון,,,,,,,,,,,,
1194018,Israel stocks,סיאון     אגח א,,,,,,,,,,,,
1182831,Israel stocks,מימון ישיר אגחה,,,,,,,,,,,,
1182047,Israel stocks,שוהם ביזנס אגחד,,,,,,,,,,,,
1142371,Israel stocks,פננטפארק  אגח א,,,,,,,,,,,,
1142405,Israel stocks,פננטפארק,,,,,,,,,,,,
1185883,Israel stocks,מניף אגח א,,,,,,,,,,,,
1185057,Israel stocks,יעקב פיננסים,,,,,,,,,,,,
1186865,Israel stocks,מלרן      אגח ד,,,,,,,,,,,,
1187061,Israel stocks,בול מסחר אגח ב,,,,,,,,,,,,
1187277,Israel stocks,מכלול אגח א,,,,,,,,,,,,
1188549,Israel stocks,אורשי     אגח ד,,,,,,,,,,,,
1183862,Israel stocks,בול מסחר אגח א,,,,,,,,,,,,
1184357,Israel stocks,מיכמן אגח ב,,,,,,,,,,,,
1120161,Israel stocks,ערך פיננסים,,,,,,,,,,,,
1082007,Israel stocks,שוהם ביזנס,,,,,,,,,,,,
208017,Israel stocks,נאוי,,,,,,,,,,,,
333013,Israel stocks,פנינסולה,,,,,,,,,,,,
422014,Israel stocks,אסאר אקורד,,,,,,,,,,,,
448019,Israel stocks,גיבוי אחזקות,,,,,,,,,,,,
1094986,Israel stocks,אופל בלאנס,,,,,,,,,,,,
1080605,Israel stocks,יונט קרדיט,,,,,,,,,,,,
1155795,Israel stocks,אמ.ג'יג'י אגח א,,,,,,,,,,,,
1180058,Israel stocks,מלרן      אגח ג,,,,,,,,,,,,
1178276,Israel stocks,ברקת,,,,,,,,,,,,
1179753,Israel stocks,מכלול מימון,,,,,,,,,,,,
1176635,Israel stocks,בול מסחר,,,,,,,,,,,,
1177633,Israel stocks,מיכמן     אגח א,,,,,,,,,,,,
1175660,Israel stocks,מימון ישיר אגחד,,,,,,,,,,,,
1175868,Israel stocks,גמלא הראל,,,,,,,,,,,,
1172337,Israel stocks,מיכמן,,,,,,,,,,,,
1171214,Israel stocks,מימון ישיר אגחג,,,,,,,,,,,,
