,601,602,700,701,702,142,143,SPY,QQQ,^RUT,IEI,LQD,GSG,GLD,OIL
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2016-06-06,337.82,346.35,460.18,279.78,323.31,1445.99,803.11,185.25022888183594,104.44425201416016,1176.8699951171875,112.31880187988281,94.80065155029297,15.84000015258789,118.91999816894531,17.46500015258789
2016-06-07,338.1,346.62,460.54,279.8,323.31,1448.2,801.65,185.5394287109375,104.17949676513672,1179.969970703125,112.43490600585938,94.9427490234375,15.970000267028809,118.81999969482422,17.780000686645508
2016-06-08,338.41,346.95,460.89,279.81,323.33,1439.51,797.1,186.14425659179688,104.35914611816406,1188.949951171875,112.45275115966797,95.2586441040039,16.25,120.58000183105469,18.05699920654297
2016-06-09,338.92,347.66,461.44,279.81,323.38,1430.44,795.87,185.89013671875,104.18895721435547,1181.199951171875,112.53314208984375,95.39288330078125,16.149999618530273,121.25,17.835800170898438
2016-06-10,,,,,,,,184.1282958984375,103.00701904296875,1163.9300537109375,112.75637817382812,95.50341796875,15.84000015258789,121.73999786376953,17.300100326538086
2016-06-13,338.89,347.76,461.93,279.83,323.37,1412.44,783.96,182.70834350585938,102.14659118652344,1150.699951171875,112.96171569824219,95.36129760742188,15.770000457763672,122.63999938964844,17.38610076904297
2016-06-14,338.87,347.93,462.08,279.86,323.38,1410.09,777.04,182.34898376464844,102.14659118652344,1147.8199462890625,112.94388580322266,95.14810943603516,15.699999809265137,122.7699966430664,17.114900588989258
2016-06-15,338.55,347.46,461.34,279.92,323.38,1420.3,778.92,182.09478759765625,101.85346221923828,1149.300048828125,113.24745178222656,95.50341796875,15.520000457763672,123.68000030517578,16.75
2016-06-16,339.15,348.08,461.83,279.92,323.43,1408.68,771.9,182.63824462890625,102.15604400634766,1148.18994140625,113.21176147460938,95.64559173583984,15.199999809265137,122.37999725341797,16.316600799560547
2016-06-17,,,,,,,,181.95803833007812,100.95863342285156,1144.699951171875,113.1046142578125,95.36129760742188,15.65999984741211,123.94999694824219,16.989599227905273
2016-06-19,338.8,347.52,461.16,279.94,323.36,1413.14,776.29,,,,,,,,
2016-06-20,338.32,346.8,460.33,279.97,323.38,1430.39,783.21,183.1298828125,101.59384155273438,1157.699951171875,112.79206085205078,95.24285125732422,15.819999694824219,123.20999908447266,17.344999313354492
2016-06-21,338.33,346.77,460.16,279.94,323.39,1428.63,783.07,183.6497344970703,101.91619110107422,1153.8699951171875,112.66706848144531,95.15597534179688,15.75,120.83999633789062,17.24959945678711
2016-06-22,338.39,346.78,460.32,279.91,323.37,1433.58,787.56,183.35012817382812,101.669677734375,1148.969970703125,112.801025390625,95.32970428466797,15.609999656677246,120.9000015258789,17.170299530029297
2016-06-23,338.38,346.7,460.16,279.9,323.37,1432.64,790.56,185.73782348632812,103.12022399902344,1172.219970703125,112.47958374023438,95.23495483398438,15.789999961853027,120.11000061035156,17.510000228881836
2016-06-24,,,,,,,,179.06814575195312,98.8729248046875,1127.5400390625,113.32778930664062,95.68507385253906,15.300000190734863,126.0,16.696300506591797
2016-06-26,338.51,347.74,462.38,279.9,323.45,1387.2,767.75,,,,,,,,
2016-06-27,338.85,348.34,463.29,279.91,323.5,1382.34,761.48,175.861083984375,96.91043853759766,1089.6500244140625,113.79214477539062,96.08781433105469,15.1899995803833,126.68000030517578,16.200000762939453
2016-06-28,339.28,348.59,463.16,279.89,323.49,1392.25,769.8,179.0328826904297,99.0340805053711,1107.300048828125,113.80107879638672,96.6168441772461,15.460000038146973,125.31999969482422,16.774999618530273
2016-06-29,339.65,348.72,462.95,279.9,323.45,1399.53,775.52,182.0814208984375,100.78799438476562,1131.6199951171875,113.58676147460938,96.58528137207031,15.6899995803833,125.83999633789062,17.280500411987305
2016-06-30,339.91,348.8,462.98,280.08,323.5,1397.95,776.86,184.5659942626953,101.95409393310547,1151.9200439453125,113.7117919921875,96.92486572265625,15.520000457763672,126.47000122070312,17.09670066833496
2016-07-01,,,,,,,,184.95367431640625,102.46605682373047,1156.77001953125,113.88520050048828,97.43240356445312,15.710000038146973,128.41000366210938,17.149999618530273
2016-07-03,340.67,349.48,463.83,280.02,323.55,1412.91,788.13,,,,,,,,
2016-07-04,340.67,349.27,463.59,279.97,323.53,1413.86,794.08,,,,,,,,
2016-07-05,341.29,350.04,464.22,279.88,323.53,1405.03,790.39,183.62327575683594,101.84036254882812,1139.449951171875,114.11754608154297,97.76495361328125,15.15999984741211,129.47000122070312,16.32550048828125
2016-07-06,341.25,350.2,464.42,279.89,323.52,1398.1,786.54,184.72463989257812,102.67463684082031,1147.3299560546875,114.0728988647461,97.93917083740234,15.229999542236328,130.22999572753906,16.61870002746582
2016-07-07,341.1,350.05,463.84,279.94,323.51,1412.44,794.29,184.61007690429688,102.9780044555664,1149.760009765625,114.04603576660156,97.9549560546875,14.720000267028809,129.74000549316406,16.020000457763672
2016-07-08,,,,,,,,187.3589630126953,104.57073211669922,1177.3599853515625,114.0728988647461,98.5013656616211,14.850000381469727,130.52000427246094,16.02989959716797
2016-07-10,341.66,350.53,464.2,279.89,323.48,1431.8,805.38,,,,,,,,
2016-07-11,341.78,350.45,463.77,279.9,323.48,1434.91,809.91,188.01974487304688,105.16799926757812,1190.030029296875,113.67960357666016,98.24798583984375,14.699999809265137,129.2899932861328,15.699999809265137
2016-07-12,341.36,349.91,462.81,279.92,323.47,1444.56,817.3,189.3854522705078,105.6989517211914,1205.8900146484375,113.38459777832031,97.69367218017578,15.109999656677246,127.1500015258789,16.430400848388672
2016-07-13,341.5,350.02,463.0,279.95,323.45,1449.26,814.84,189.35899353027344,105.44296264648438,1201.1600341796875,113.49189758300781,98.07377624511719,14.850000381469727,128.32000732421875,15.744000434875488
2016-07-14,341.33,349.84,462.67,279.99,323.48,1460.97,818.49,190.41632080078125,106.16348266601562,1202.1700439453125,113.30420684814453,97.83622741699219,14.920000076293945,127.33000183105469,15.989899635314941
2016-07-15,,,,,,,,190.16079711914062,105.99282836914062,1205.31005859375,113.08966827392578,97.46407318115234,14.9399995803833,126.83999633789062,16.06559944152832
2016-07-17,341.25,349.48,462.37,279.97,323.46,1459.65,818.19,,,,,,,,
2016-07-18,341.28,349.33,462.4,279.96,323.43,1458.29,818.42,190.6718292236328,106.69438171386719,1207.9100341796875,113.11648559570312,97.46407318115234,14.829999923706055,127.04000091552734,15.864299774169922
2016-07-19,341.49,349.35,462.68,280.0,323.43,1459.22,823.42,190.4779510498047,106.3056869506836,1200.449951171875,113.2773666381836,97.63825988769531,14.670000076293945,127.20999908447266,15.6899995803833
2016-07-20,341.46,349.16,462.48,279.92,323.44,1468.32,829.73,191.27093505859375,107.54764556884766,1209.739990234375,113.143310546875,97.60655975341797,14.609999656677246,125.38999938964844,15.899399757385254
2016-07-21,341.26,348.9,461.99,280.02,323.44,1467.68,827.2,190.54844665527344,107.30113983154297,1203.8599853515625,113.33990478515625,97.71746063232422,14.479999542236328,127.30000305175781,15.479999542236328
2016-07-22,,,,,,,,191.40309143066406,107.74675750732422,1212.8900146484375,113.23271179199219,97.66206359863281,14.430000305175781,126.3499984741211,15.140000343322754
2016-07-24,341.65,349.28,462.59,280.03,323.44,1468.66,826.51,,,,,,,,
