,170,603,601,690,637,704,701,714,XLK,XLV,XOP,QQQ,SHV,273011,695437,593038,LMB,AGM,TDS,MCD,FMY,EOI
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2016-04-19,897.06,302.41,337.07,400.97,236.78,597.85,279.88,322.21,40.37470626831055,62.57137680053711,119.80384826660156,104.52935791015625,99.0636978149414,24520.0,4424.0,4787.0,9.890000343322754,29.341476440429688,23.515060424804688,107.31544494628906,9.458613395690918,7.312985897064209
2016-04-20,893.53,302.39,337.28,401.15,236.94,598.41,279.9,322.17,40.45676803588867,62.90665054321289,121.4570541381836,104.61443328857422,99.0636978149414,24500.0,4391.0,4788.0,9.890000343322754,29.935649871826172,23.220539093017578,107.05728912353516,9.550830841064453,7.356323719024658
2016-04-21,901.55,302.64,337.12,400.57,236.96,596.36,279.88,322.6,40.31087875366211,63.27720260620117,120.19075012207031,104.62390899658203,99.0636978149414,24460.0,4400.0,4791.0,9.9399995803833,29.740190505981445,23.019031524658203,104.75875854492188,9.531072616577148,7.356323719024658
2016-04-22,,,,,,,,,39.6087760925293,63.40953063964844,124.41170501708984,103.04485321044922,99.07267761230469,,,,9.899999618530273,30.037290573120117,23.17403793334961,104.5172348022461,9.56400203704834,7.293595314025879
2016-04-24,901.18,302.76,337.32,400.72,237.02,596.83,279.88,322.71,,,,,,24110.0,4390.0,4817.0,,,,,,
2016-04-25,888.69,302.88,337.51,400.82,236.91,597.12,279.88,323.06,39.617897033691406,63.16249465942383,122.65294647216797,103.04485321044922,99.05474853515625,24110.0,4410.0,4782.0,9.899999618530273,29.732379913330078,23.034530639648438,106.14955139160156,9.537657737731934,7.2993011474609375
2016-04-26,896.74,302.74,337.32,400.42,236.83,595.66,279.87,322.84,39.426429748535156,62.92428970336914,126.17042541503906,102.54370880126953,99.05474853515625,24440.0,4443.0,4851.0,9.899999618530273,30.889469146728516,23.33679962158203,106.35774230957031,9.458613395690918,7.3677287101745605
2016-04-27,884.79,302.82,337.43,400.48,236.89,596.03,279.87,322.93,39.24406433105469,62.85367965698242,130.00448608398438,101.7210922241211,99.09063720703125,24040.0,4330.0,4699.0,9.899999618530273,30.91291046142578,23.41429901123047,106.84908294677734,9.478376388549805,7.396240711212158
2016-04-28,,,,,,,,,38.751705169677734,62.55372619628906,126.17042541503906,100.49188995361328,99.0816421508789,,,,9.899999618530273,30.858203887939453,23.081031799316406,106.53263854980469,9.524484634399414,7.293595314025879
2016-04-29,,,,,,,,,38.4143180847168,61.57438659667969,125.71318054199219,99.96239471435547,99.07267761230469,,,,9.930000305175781,31.804189682006836,22.91826820373535,105.34172058105469,9.57059097290039,7.179546356201172
2016-05-01,879.05,302.98,337.89,401.33,236.86,599.01,279.87,323.14,,,,,,23660.0,4247.0,4659.0,,,,,,
