,601,602,700,701,702,142,143,SPY,QQQ,^RUT,IEI,LQD,GSG,GLD,OIL
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2018-03-13,351.6,353.83,474.99,282.02,324.96,1502.02,1091.54,252.16314697265625,165.41249084472656,1592.050048828125,110.73822021484375,98.13410949707031,16.18000030517578,125.77999877929688,18.25
2018-03-14,351.95,354.15,475.43,282.04,324.97,1499.11,1087.78,250.8691864013672,165.38360595703125,1584.31005859375,110.83039093017578,98.35359191894531,16.200000762939453,125.69999694824219,18.25
2018-03-15,352.23,354.17,475.34,282.06,324.96,1504.95,1094.91,250.59576416015625,165.23910522460938,1576.6199951171875,110.81195831298828,98.4548568725586,16.229999542236328,124.9000015258789,18.18000030517578
2018-03-16,,,,,,,,250.86753845214844,164.74781799316406,1586.050048828125,110.71975708007812,98.56462860107422,16.34000015258789,124.5999984741211,18.53619956970215
2018-03-18,352.59,354.49,475.38,282.02,325.0,1501.37,1090.21,,,,,,,,
2018-03-19,352.51,354.56,475.59,282.0,325.0,1486.92,1076.65,247.47325134277344,161.2327423095703,1570.56005859375,110.67367553710938,98.23541259765625,16.229999542236328,124.87000274658203,18.239999771118164
2018-03-20,352.39,354.6,475.58,281.99,324.95,1488.24,1084.8,247.89402770996094,161.763427734375,1570.4100341796875,110.5078125,97.88928985595703,16.389999389648438,124.30999755859375,18.239999771118164
2018-03-21,352.42,354.68,475.53,282.05,324.98,1483.42,1088.0,247.41836547851562,161.05905151367188,1579.300048828125,110.59994506835938,97.83021545410156,16.719999313354492,126.4800033569336,19.059999465942383
2018-03-22,353.02,355.65,476.81,282.03,324.98,1470.44,1071.37,241.2335662841797,157.08372497558594,1543.8699951171875,110.8211669921875,97.9990005493164,16.520000457763672,125.9800033569336,19.059999465942383
2018-03-23,,,,,,,,236.0917510986328,152.94435119628906,1510.0799560546875,110.94098663330078,97.68670654296875,16.719999313354492,127.61000061035156,19.52720069885254
2018-03-25,352.77,355.69,476.71,281.99,324.96,1427.67,1044.94,,,,,,,,
2018-03-26,352.75,355.55,476.82,281.98,324.96,1438.36,1062.01,242.551025390625,158.6275634765625,1543.719970703125,110.76586151123047,98.03279113769531,16.68000030517578,128.27999877929688,19.471200942993164
2018-03-27,352.92,355.59,476.83,281.99,324.97,1448.5,1079.04,238.4248046875,153.49432373046875,1513.5699462890625,111.09765625,98.38732147216797,16.59000015258789,127.48999786376953,19.424999237060547
2018-03-28,352.85,355.59,477.12,282.02,324.98,1434.43,1066.09,237.7202911376953,151.7285614013672,1513.030029296875,111.05157470703125,98.64906311035156,16.559999465942383,125.7300033569336,19.424999237060547
2018-03-29,353.08,355.79,477.24,282.01,324.96,1436.22,1070.68,240.75779724121094,154.5074920654297,1529.4300537109375,111.17139434814453,99.09642791748047,16.649999618530273,125.79000091552734,19.424999237060547
2018-04-01,353.42,355.99,477.35,282.04,324.98,1440.09,1079.51,,,,,,,,
2018-04-02,353.15,355.76,477.11,282.06,325.0,1431.07,1074.72,235.5611114501953,150.04965209960938,1492.530029296875,111.25260925292969,99.04312133789062,16.3799991607666,127.26000213623047,18.75
2018-04-03,352.81,355.46,476.8,282.05,324.99,1423.86,1059.96,238.580322265625,151.7382354736328,1512.1500244140625,111.04951477050781,98.78067016601562,16.440000534057617,126.30000305175781,18.75
2018-04-04,352.43,355.28,476.61,282.05,325.0,1391.67,1036.0,241.1329345703125,154.13116455078125,1531.6600341796875,111.00340270996094,98.78067016601562,16.43000030517578,126.44999694824219,18.8700008392334
2018-04-05,,,,,,,,243.0358428955078,155.00917053222656,1542.9300537109375,110.87418365478516,98.81452178955078,16.5,125.80000305175781,18.923200607299805
2018-04-06,,,,,,,,237.6196746826172,151.1303253173828,1513.300048828125,111.16029357910156,99.11083221435547,16.299999237060547,126.38999938964844,18.5393009185791
2018-04-08,352.52,355.35,476.82,282.04,325.0,1416.93,1047.28,,,,,,,,
2018-04-09,352.58,355.15,476.19,282.05,325.0,1418.91,1054.22,238.79074096679688,152.1917266845703,1514.4599609375,111.15107727050781,99.16161346435547,16.56999969482422,126.81999969482422,18.5393009185791
2018-04-10,352.61,354.9,475.58,282.0,324.98,1441.07,1067.88,242.587646484375,155.54953002929688,1543.4300537109375,111.00340270996094,99.18702697753906,16.959999084472656,127.12000274658203,18.5393009185791
