,TSLA,ADBE,JNJ,EOI,AAPL,AMZN,MSFT,GOOG,META,NVDA,AJG,BRO,BAC,CSL,593038,273011,442012,1081124
,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,closingPrice,closingPrice,closingPrice,closingPrice
2016-04-27,16.764667510986328,95.63999938964844,92.28888702392578,7.500685691833496,22.41396141052246,30.328500747680664,45.686195373535156,35.29199981689453,108.88999938964844,9.139921188354492,39.14558410644531,16.404064178466797,12.807059288024902,94.37646484375,4699.0,24040.0,280.6,37380.0
2016-04-28,16.513999938964844,93.63999938964844,92.05158233642578,7.396590709686279,21.72885513305664,30.100000381469727,44.75347137451172,34.55099868774414,116.7300033569336,8.868002891540527,38.52986145019531,16.264413833618164,12.610944747924805,93.7228012084961,,,,
2016-04-29,16.05066680908203,94.22000122070312,91.72419738769531,7.280932426452637,21.47908592224121,32.97949981689453,44.7265625,34.6505012512207,117.58000183105469,8.703866958618164,39.92606735229492,16.343549728393555,12.414833068847656,92.51528930664062,,,,
2016-05-01,,,,,,,,,,,,,,,4659.0,23660.0,280.6,37280.0
2016-05-02,16.1200008392334,94.9000015258789,92.27250671386719,7.367677688598633,21.456174850463867,34.192501068115234,45.390228271484375,34.910499572753906,118.56999969482422,8.819005966186523,40.671852111816406,16.525096893310547,12.593891143798828,93.986083984375,4770.0,24210.0,280.6,37230.0
2016-05-03,15.48799991607666,93.66000366210938,92.22339630126953,7.379244804382324,21.809040069580078,33.566001892089844,44.645843505859375,34.61800003051758,117.43000030517578,8.713667869567871,40.229591369628906,16.450611114501953,12.244297981262207,91.4984359741211,4729.0,24020.0,280.6,36520.0
2016-05-04,14.837332725524902,92.94000244140625,91.83878326416016,7.338760852813721,21.58220100402832,33.54499816894531,44.7265625,34.78499984741211,118.05999755859375,8.515240669250488,40.810611724853516,16.380788803100586,12.048187255859375,90.46343994140625,4653.0,23810.0,280.6,36970.0
2016-05-05,14.10200023651123,93.5,92.37889862060547,7.315624237060547,21.49459457397461,32.954498291015625,44.78932189941406,35.07149887084961,117.80999755859375,8.566686630249023,40.82795715332031,16.41022300720215,11.979971885681152,91.68910217285156,4691.0,24490.0,280.6,36510.0
2016-05-06,14.328666687011719,94.30000305175781,92.26432037353516,7.385026931762695,21.374727249145508,33.6974983215332,45.19292449951172,35.555999755859375,119.48999786376953,8.654874801635742,40.723899841308594,16.298107147216797,12.031132698059082,92.66053771972656,,,,
2016-05-08,,,,,,,,,,,,,,,4722.0,24420.0,280.6,36850.0
