,601,602,700,701,702,TA35.TA,TA90.TA,SPY,QQQ,^RUT,IEI,LQD,GSG,GLD,OIL
,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
2021-09-22,391.22,390.23,515.57,284.25,328.94,1792.550048828125,2048.830078125,426.14599609375,365.33087158203125,2218.56005859375,127.54293060302734,128.42987060546875,16.280000686645508,165.4199981689453,21.920000076293945
2021-09-23,391.8,390.66,515.91,284.24,328.89,1804.5899658203125,2067.199951171875,431.32366943359375,368.7017517089844,2259.0400390625,127.07534790039062,127.54315948486328,16.540000915527344,163.50999450683594,22.280000686645508
2021-09-24,,,,,,,,432.0342102050781,369.0477294921875,2248.070068359375,126.90975952148438,127.2696304321289,16.6299991607666,163.3000030517578,22.479999542236328
2021-09-26,391.33,389.9,514.63,284.25,328.84,1798.2900390625,2072.780029296875,,,,,,,,
2021-09-27,,,,,,,,430.7981872558594,366.1019287109375,2281.0,126.72463989257812,127.20358276367188,16.93000030517578,163.63999938964844,22.940000534057617
2021-09-28,,,,,,,,422.11676025390625,355.74212646484375,2229.780029296875,126.59800720214844,125.84519958496094,16.799999237060547,162.0500030517578,22.780000686645508
2021-09-29,391.49,389.83,514.08,284.23,328.85,1793.989990234375,2060.739990234375,422.8272705078125,355.1589050292969,2225.31005859375,126.71492004394531,125.81694793701172,16.739999771118164,161.32000732421875,22.739999771118164
2021-09-30,391.24,389.38,512.8,284.26,328.87,1803.0400390625,2059.7900390625,417.6593322753906,353.8540344238281,2204.3701171875,126.80259704589844,125.48674011230469,16.860000610351562,164.22000122070312,22.860000610351562
2021-10-01,,,,,,,,422.62286376953125,356.048583984375,2241.6298828125,127.11837768554688,126.39881896972656,17.030000686645508,164.58999633789062,23.049999237060547
2021-10-03,391.71,389.53,512.96,284.2,328.78,1806.68994140625,2073.800048828125,,,,,,,,
2021-10-04,391.25,388.57,511.28,284.14,328.82,1791.3299560546875,2047.6400146484375,417.1727294921875,348.5753173828125,2217.469970703125,127.01118469238281,126.1908950805664,17.31999969482422,165.36000061035156,23.68000030517578
2021-10-05,391.31,388.65,511.17,284.23,328.83,1799.7900390625,2049.610107421875,421.51336669921875,353.28070068359375,2228.360107421875,126.85521697998047,125.67108154296875,17.540000915527344,164.58999633789062,24.170000076293945
2021-10-06,391.61,389.25,511.46,284.44,328.84,1784.1600341796875,2023.8699951171875,423.26519775390625,355.54443359375,2214.9599609375,126.81623840332031,125.70887756347656,17.209999084472656,165.02999877929688,23.440000534057617
2021-10-07,391.3,388.97,511.52,284.46,328.85,1803.3399658203125,2048.139892578125,426.924560546875,358.8065490722656,2250.090087890625,126.5920639038086,125.1512451171875,17.459999084472656,164.16000366210938,24.040000915527344
2021-10-08,,,,,,,,426.14599609375,357.017333984375,2233.090087890625,126.4361343383789,124.57473754882812,17.510000228881836,164.22999572753906,24.1299991607666
2021-10-10,390.88,388.24,510.38,284.36,328.83,1801.510009765625,2061.0,,,,,,,,
2021-10-11,391.78,389.31,511.35,284.47,328.88,1814.4100341796875,2076.449951171875,423.0608215332031,354.2791748046875,2220.639892578125,126.16319274902344,124.33848571777344,17.59000015258789,163.9199981689453,24.489999771118164
2021-10-12,392.82,390.43,512.73,284.8,328.89,1823.6300048828125,2080.14990234375,422.0194396972656,353.04345703125,2234.27001953125,126.38735961914062,125.13232421875,17.56999969482422,164.66000366210938,24.3700008392334
2021-10-13,394.07,391.81,513.87,284.86,328.87,1831.3199462890625,2095.909912109375,423.5377197265625,355.8706359863281,2241.969970703125,126.34838104248047,125.76556396484375,17.610000610351562,167.58999633789062,24.309999465942383
2021-10-14,394.97,392.66,514.9,285.27,328.93,1846.56005859375,2112.409912109375,430.661865234375,362.4245910644531,2274.179931640625,126.48487091064453,126.3609848022461,17.809999465942383,168.0,24.6200008392334
2021-10-15,,,,,,,,433.9416809082031,364.7080993652344,2265.64990234375,126.11447143554688,125.9073715209961,17.93000030517578,165.3300018310547,24.780000686645508
2021-10-17,394.58,392.09,514.19,285.32,328.9,,,,,,,,,,
2021-10-18,393.89,391.23,513.0,285.38,328.88,1841.469970703125,2102.669921875,435.2264099121094,368.37554931640625,2267.840087890625,125.9195327758789,125.80340576171875,17.81999969482422,164.9199981689453,24.6200008392334
