,658,690,637,XLK,SHV,700,704,QQQ,IEI,LQD,GLD,127,143,603,702,712,170,OIL,701
,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,Adj Close,Adj Close,Adj Close,Adj Close,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,closingIndexPrice,Adj Close,closingIndexPrice
2021-06-11,,,,139.22128295898438,105.76409149169922,,,336.56182861328125,127.02278137207031,124.53801727294922,175.74000549316406,,,,,,,20.809999465942383,
2021-06-13,391.96,439.93,239.89,,,510.17,711.35,,,,,1033.47,2014.43,366.33,328.6,370.97,695.62,,283.59
2021-06-14,392.18,440.13,239.88,140.63343811035156,105.76409149169922,510.42,712.24,339.78704833984375,126.80000305175781,124.08146667480469,174.7100067138672,1044.93,2029.45,366.67,328.62,371.39,704.39,20.8799991607666,283.67
2021-06-15,391.8,439.91,239.88,139.77044677734375,105.77367401123047,510.13,711.39,337.56787109375,126.82905578613281,124.17464447021484,174.0500030517578,1047.31,2017.84,366.9,328.6,371.67,704.06,21.209999084472656,283.68
2021-06-16,390.83,441.0,239.53,139.01535034179688,105.77367401123047,511.56,714.99,336.3349914550781,126.20922088623047,123.82064056396484,171.11000061035156,1043.06,2004.53,366.64,328.67,370.8,700.34,21.110000610351562,283.71
2021-06-17,389.44,440.84,239.54,140.62362670898438,105.77367401123047,511.35,714.31,340.6056213378906,126.28668212890625,124.51002502441406,165.85000610351562,1030.83,1998.98,366.9,328.78,370.93,693.94,20.719999313354492,283.73
2021-06-18,,,,139.33900451660156,105.7545394897461,,,337.9327697753906,126.34483337402344,125.16222381591797,164.92999267578125,,,,,,,20.899999618530273,
2021-06-20,388.95,441.75,239.58,,,512.58,717.9,,,,,1009.46,1987.1,366.37,328.69,370.22,679.17,,283.64
2021-06-21,387.87,441.42,239.55,140.83230590820312,105.76409149169922,512.14,716.56,340.03302001953125,126.26732635498047,124.43550109863281,166.9499969482422,1018.5,2005.89,365.94,328.71,369.04,686.32,21.270000457763672,283.65
2021-06-22,387.72,441.44,239.63,142.1094512939453,105.7545394897461,512.15,716.46,343.20269775390625,126.45135498046875,124.6404800415039,166.25,1025.16,2013.06,366.32,328.73,369.7,692.58,21.334999084472656,283.7
2021-06-23,388.22,441.95,239.69,141.95223999023438,105.76409149169922,512.84,718.36,343.3705749511719,126.28668212890625,124.44485473632812,166.13999938964844,1025.59,2017.99,366.99,328.71,370.27,693.36,21.45199966430664,283.66
2021-06-24,388.13,442.39,239.64,142.84628295898438,105.77367401123047,513.39,719.84,345.49359130859375,126.2576904296875,124.68709564208984,166.0399932861328,1006.34,2014.92,366.57,328.71,369.97,681.13,21.540000915527344,283.77
2021-06-25,,,,142.6792449951172,105.7545394897461,,,345.0689697265625,126.16077423095703,124.36095428466797,166.58999633789062,,,,,,,21.690000534057617,
2021-06-27,387.88,442.14,239.54,,,513.09,719.03,,,,,1005.65,2009.59,366.44,328.72,369.79,680.35,,283.63
2021-06-28,388.64,442.36,239.54,144.1725616455078,105.76409149169922,513.37,719.68,349.2655334472656,126.31575012207031,124.89202117919922,166.5800018310547,1014.7,2024.67,366.64,328.76,369.68,687.57,21.3700008392334,283.67
2021-06-29,388.39,442.35,239.51,145.22377014160156,105.76409149169922,513.36,719.58,350.5294494628906,126.36418151855469,125.04106903076172,164.8300018310547,1017.79,2021.29,366.4,328.74,369.47,691.92,21.56999969482422,283.68
2021-06-30,389.06,442.71,239.6,145.0666046142578,105.76409149169922,513.83,720.62,349.97650146484375,126.42227935791016,125.18085479736328,165.6300048828125,1022.0,2018.93,366.71,328.8,369.7,693.78,21.540000915527344,283.72
2021-07-01,389.45,443.16,239.66,145.31219482421875,105.76409149169922,514.41,722.22,350.1147766113281,126.35832977294922,125.07164764404297,166.1999969482422,1032.71,2009.7,366.94,328.79,369.94,697.08,21.809999465942383,283.78
2021-07-02,,,,147.22793579101562,105.76409149169922,,,354.1336364746094,126.59090423583984,125.42635345458984,167.2899932861328,,,,,,,21.969999313354492,
2021-07-04,390.65,443.49,239.61,,,514.86,723.41,,,,,1020.05,2014.5,367.34,328.83,370.38,690.93,,283.72
2021-07-05,391.45,443.38,239.65,,,514.7,723.03,,,,,1028.93,2020.5,367.45,328.79,370.78,696.6,,283.77
2021-07-06,392.33,444.0,239.58,147.7879180908203,105.7545394897461,515.52,725.35,355.66412353515625,126.93009185791016,125.88374328613281,168.1199951171875,1038.77,2020.15,367.57,328.75,370.99,705.03,21.440000534057617,283.77
2021-07-07,392.88,444.21,239.55,148.59352111816406,105.76409149169922,515.79,725.87,356.4146423339844,127.04637908935547,126.3131103515625,168.75999450683594,1015.38,2031.71,367.5,328.79,370.98,690.96,20.968900680541992,283.8
